userid,pazienti,prescrizioni
A:.T]¶=,112,38
A.^8X}¶,122,38
A.C?&D=,104,37
A:_XF©2,110,37
JHKKTT9,129,37
A:-MID),93,37
A.59-3G,139,36
A.W20.Z,86,36
A.^>/.:,104,36
A.^RT}/,101,35
A.UT/0_,119,35
"A,20{_S",125,35
A.E#P7M,97,34
A:T{Z49,87,34
A:M^VH8,108,34
A=?©#U_,50,34
7HTHRGJ,146,33
A.U_1D-,101,33
A.*[<5¶,113,33
A.U9?}J,151,32
A.O^F/N,92,32
A==J^@2,135,31
A.*F©5J,81,31
A.CBZV!,103,30
6X3CD5U,115,30
R4KUVT9,145,30
A.{RI1),73,30
^K#!WCM,88,29
A.U9?.K,130,29
A.7/LA],93,29
A=TY¶GH,92,29
A.USQYL,70,28
A:MDWOJ,72,28
A.R*©:X,131,28
A=F2CSL,132,28
A.C[:I/,101,28
A.U70@D,68,28
2ET6RNA,74,28
^W>9!AR,124,28
E6TWYZR,62,27
QYSR4BC,111,27
ATW6SPC,108,27
A.UC&1A,73,26
A=(;GZS,14,26
A¶&([YR,108,26
A.C}<7],86,25
A.L<]*9,104,25
A.XY)©!,86,25
A.|}8L©,117,25
2BRTSGJ,12,25
"A.B,NCL",99,25
A.XIFJE,117,25
A.5-3EA,91,24
"A.@8AT,",72,24
"A,1©I[P",68,24
"A.*F&2,",83,24
A=2?ZTP,76,24
A.XY.TY,106,24
"A,1@G&>",78,24
A:_+Z3D,90,23
A=^<.TT,77,23
A.¶S©)X,65,23
A.3)|#1,27,23
A.*&5Q_,65,23
A.S@3[2,86,23
A.#©6*B,51,23
A.YZ!<;,43,22
A.H¶#?>,47,22
A.P2?W|,51,22
^?F5]Q4,94,22
A.S3MMX,65,22
A.>!1.W,93,22
A.{$=OE,71,22
FWF9QGJ,8,21
A.*)¶B.,60,21
A.DJ*^6,69,21
A.T??A},84,21
"A:D:,C>",70,21
"A.T!2],",100,21
A./OY3©,58,21
8STWSE8,84,20
HWFYSMV,92,20
A.OG!:I,55,20
A.^[TX[,45,20
2R9RDNA,140,20
HN37WQ5,110,20
A./QU2M,56,19
A.UDXDD,50,19
A.R0)^#,50,19
A=¶81^-,19,19
A.D10O],59,19
ACC9ZWM,68,19
"A,05]F/",43,19
A.UQ6L<,51,19
A.LA>GZ,91,19
A:.DX0=,65,19
A.US.[},65,18
A.{#H#Y,64,18
A.R{D©E,39,18
PPKU4JV,108,18
"A.QLOF,",43,18
A.Y;L©E,71,18
"A,08|Z2",42,17
A=KTXXU,41,17
A.*/#VQ,52,17
A.36HT^,40,17
A.^$4R{,47,17
A.¶3?<H,35,17
RNKSQHQ,94,17
APYRN61,63,16
"A.S,;+D",42,16
A.7-YL*,52,16
A.UZV}Y,45,16
A.V}8#=,45,16
"A.,@T^¶",58,16
A.^1)Y],37,15
A.C/_KR,53,15
A.^8U+N,49,15
"A.$U,&Y",39,15
3SHUYT9,65,15
A==J©WM,47,15
A:287HS,58,15
A.?+V74,53,14
A.UPJ=K,51,14
A.2HI-A,64,14
A.JSQ!{,54,14
A.XT-?6,69,14
A.V5@.W,61,14
A:_#![=,36,14
"A,2MF]2",42,14
XWHWDX6,10,14
A:[090R,25,14
A:4¶OKD,43,14
KREQW61,44,14
A:(0¶?9,22,14
"A:5EI[,",48,13
A.*7K}4,40,13
A=:L(/6,40,13
"A,0${$(",68,13
A.S!_N¶,28,13
A==I©ZM,62,13
A=3S}S*,43,13
A=#OFV7,59,13
"A,1)O#I",49,13
MHPTW9E,49,13
MQT5VUX,66,13
A=#¶D8D,31,13
A.N?G-},32,12
A:-¶<|I,40,12
A:@2U|0,28,12
A.UZ((H,29,12
A.U<S&(,36,12
A.S¶!QN,38,12
A.C©!O[,50,12
A.|_XD7,25,12
A.^LSNF,57,12
"A,213)1",25,12
¶3?WKAI,65,12
^¶C?->C,54,12
^.U[KT3,117,12
A.^.?PM,32,11
A.&12M¶,32,11
A=N@P;1,39,11
A.^L]P|,35,11
A.P*5C3,82,11
A.2QBQH,59,11
ECTKRRF,96,11
A.X&$ET,52,11
A=N]8XP,27,11
A=F26*W,54,11
PGW7RQ5,38,11
NBJGRNA,81,11
A.BCO]2,36,11
A.(]];X,43,11
A.{625#,28,10
A.-@9}N,30,10
A.C?*X@,47,10
A.U<<8S,26,10
A.^25)V,39,10
"A,29&}2",21,10
A.U=?7Z,31,10
A.¶.2©<,82,10
A.DHI.$,34,10
A.UDWS7,26,10
A.*[>@4,23,10
A.XZ=(1,20,10
